iter	MultiClass
0	2.268245057
1	2.243084079
2	2.215684704
3	2.207956023
4	2.181671076
5	2.165647039
6	2.133460112
7	2.110995713
8	2.082724634
9	2.064618049
10	2.049040131
11	2.027063035
12	2.008422769
13	1.992070001
14	1.970571587
15	1.949562232
16	1.93158265
17	1.917793291
18	1.89709281
19	1.881529733
20	1.869418315
21	1.858008501
22	1.845739085
23	1.835532935
24	1.820425026
25	1.808523054
26	1.793120064
27	1.782948684
28	1.77412277
29	1.768429087
30	1.760436752
31	1.752355697
32	1.744396559
33	1.730724454
34	1.724112532
35	1.718465532
36	1.707396577
37	1.700593668
38	1.695352154
39	1.694384099
40	1.694378584
41	1.682968907
42	1.674902373
43	1.668572672
44	1.664102064
45	1.656207079
46	1.645297262
47	1.641654481
48	1.636622781
49	1.631047892
50	1.62974022
51	1.620244364
52	1.614976302
53	1.608023574
54	1.604530117
55	1.600181866
56	1.594820809
57	1.58947194
58	1.585908656
59	1.578367851
60	1.575685153
61	1.571107725
62	1.564012942
63	1.561953972
64	1.556804253
65	1.553813314
66	1.54803951
67	1.543310978
68	1.540480759
69	1.540479344
70	1.53468118
71	1.529078702
72	1.524106548
73	1.523011621
74	1.515936252
75	1.512010107
76	1.51189612
77	1.509022157
78	1.505639848
79	1.503260693
80	1.496879073
81	1.496031807
82	1.493875716
83	1.493874479
84	1.490031435
85	1.484371471
86	1.481308643
87	1.478024852
88	1.477901875
89	1.47561352
90	1.472423918
91	1.467673388
92	1.463206508
93	1.461701659
94	1.460535263
95	1.457533337
96	1.454103592
97	1.45308491
98	1.450044579
99	1.447634615
100	1.444237163
101	1.441899345
102	1.438234895
103	1.431250957
104	1.427915447
105	1.42758354
106	1.424911319
107	1.423549056
108	1.42092466
109	1.418425574
110	1.416458404
111	1.41355237
112	1.409402516
113	1.406245491
114	1.403075235
115	1.398281333
116	1.392511874
117	1.389554058
118	1.388293269
119	1.388286588
120	1.384157681
121	1.382257301
122	1.378195788
123	1.376924413
124	1.372007421
