iter	Passed	Remaining
0	482	963519
1	917	916339
2	1415	942042
3	1458	727930
4	2078	829479
5	2303	765398
6	2772	789307
7	3221	802070
8	3662	810132
9	4046	805200
10	4564	825296
11	5045	835917
12	5478	837354
13	6001	851424
14	6424	850226
15	6882	853431
16	7367	859375
17	7848	864249
18	8369	872640
19	8896	880793
20	9467	892169
21	9903	890441
22	10456	898791
23	10938	900628
24	11313	893796
25	11832	898381
26	12265	896326
27	12802	901688
28	13360	908061
29	13827	907997
30	14367	912550
31	14926	917990
32	15482	922852
33	15875	917995
34	16376	919431
35	16825	917946
36	17344	920181
37	17819	920027
38	18380	924204
39	18470	905052
40	18482	883079
41	18933	882662
42	19455	885438
43	19989	888621
44	20572	893749
45	21095	896091
46	21538	895000
47	22041	896339
48	22590	899481
49	23076	899970
50	23622	902738
51	24156	904955
52	24716	907965
53	25240	909600
54	25746	910489
55	26263	911734
56	26810	913911
57	27378	916698
58	27935	919024
59	28440	919563
60	29033	922875
61	29580	924635
62	30109	925750
63	30635	926725
64	31189	928498
65	31744	930208
66	32301	931915
67	32784	931474
68	33342	933092
69	33354	919619
70	33848	919638
71	34394	921015
72	34883	920836
73	35021	911493
74	35575	913107
75	36137	914849
76	36195	903947
77	36766	905955
78	37344	908097
79	37967	911220
80	38430	910475
81	38490	900297
82	39084	902703
83	39096	891762
84	39618	892591
85	40175	894128
86	40742	895865
87	41227	895770
88	41285	886469
89	41726	885520
90	42243	886183
91	42754	886689
92	43253	886930
93	43763	887378
94	43853	879387
95	44408	880777
96	44973	882315
97	45414	881412
98	45975	882826
99	46470	882936
100	46984	883401
101	47553	884874
102	48029	884581
103	48502	884242
104	48965	883701
105	48995	875439
106	49508	875881
107	49950	875062
108	50507	876230
109	51030	876803
110	51602	878167
111	52244	880685
112	52745	880811
113	53243	880857
114	53801	881875
115	54343	882610
116	54894	883466
117	55404	883650
118	56012	885366
119	56042	878000
120	56540	878012
121	57097	878925
122	57664	879964
123	58123	879357
124	58623	879359
125	59251	881249
126	59264	874037
127	59759	873987
128	60297	874544
129	60880	875735
130	61373	875629
131	61907	876085
132	62469	876922
133	63026	877665
134	63576	878290
135	64144	879155
136	64616	878687
137	65088	878221
138	65145	872194
139	65206	866313
140	65775	867207
141	66338	868009
142	66884	868559
143	66916	862478
144	67473	863189
145	68027	863851
146	68593	864654
147	69103	864727
148	69561	864144
149	70010	863461
150	70583	864302
151	71146	864994
152	71670	865194
153	72223	865746
154	72733	865769
155	73294	866376
156	73856	866989
157	74391	867272
158	74949	867807
159	75511	868386
160	76056	868746
161	76613	869228
162	77173	869743
163	77633	869112
164	78127	868875
165	78663	869092
166	79170	868983
167	79682	868918
168	80206	868979
169	80737	869114
170	81275	869314
171	81823	869615
172	82372	869907
173	82937	870362
174	83493	870713
175	84071	871283
176	84604	871374
177	85168	871777
178	85681	871651
179	86195	871529
180	86762	871935
181	87309	872132
182	87921	872964
183	88530	873756
184	89090	874047
185	89654	874376
186	90253	875024
187	90757	874748
188	91323	875062
189	91841	874911
190	92358	874749
191	92915	874950
192	93490	875323
193	94028	875339
194	94599	875649
195	95160	875861
196	95698	875858
197	96211	875621
198	96799	876062
199	97390	876510
200	98004	877166
201	98592	877574
202	99189	878048
203	99733	878047
204	100253	877831
205	100721	877153
206	101278	877255
207	101847	877456
208	102416	877646
209	102892	877038
210	103465	877248
211	104029	877384
212	104537	877035
213	105152	877581
214	105652	877164
215	106182	876988
216	106629	876131
217	107147	875856
218	107665	875578
219	108265	875969
220	108838	876127
221	109373	875972
222	109938	876056
223	110500	876114
224	111059	876132
225	111604	876042
226	112236	876633
227	112801	876687
228	113307	876274
229	113891	876470
230	114459	876530
231	115015	876498
232	115481	875774
233	116005	875492
234	116507	875047
235	117093	875226
236	117643	875126
237	118143	874660
238	118658	874303
239	119247	874480
240	119778	874236
241	120281	873777
242	120875	873987
243	121434	873928
244	122006	873964
245	122603	874172
246	123154	874050
247	123722	874040
248	124228	873591
249	124795	873568
250	125409	873867
251	125985	873899
252	126535	873742
253	127101	873695
254	127627	873372
255	128135	872922
256	128700	872856
257	129264	872784
258	129764	872280
259	130302	872025
260	130867	871948
261	131421	871793
262	131991	871744
263	132582	871832
264	133137	871675
265	133747	871870
266	134280	871563
267	134835	871402
268	135345	870938
269	135932	870975
270	136496	870859
271	137056	870712
272	137611	870533
273	138115	870029
274	138603	869419
275	139087	868795
276	139574	868181
277	140134	868028
278	140691	867850
279	141170	867190
280	141721	866972
281	142275	866771
282	142838	866618
283	143410	866523
284	143915	866017
285	144483	865890
286	145048	865742
287	145622	865645
288	146185	865477
289	146690	864965
290	147252	864793
291	147837	864749
292	148392	864527
293	148963	864394
294	149534	864260
295	150079	863970
296	150643	863793
297	151215	863654
298	151718	863123
299	152330	863204
300	152816	862573
301	153371	862335
302	153981	862400
303	154546	862204
304	155084	861865
305	155652	861683
306	156189	861331
307	156758	861153
308	157338	861035
309	157870	860646
310	158496	860775
311	159098	860761
312	159679	860636
313	160257	860489
314	160814	860231
315	161309	859638
316	161843	859249
317	162405	859013
318	162964	858755
319	163535	858559
320	164033	857982
321	164591	857717
322	165165	857532
323	165723	857262
324	166328	857232
325	166847	856758
326	167369	856297
327	167928	856023
328	168489	855761
329	169057	855534
330	169579	855070
331	170075	854473
332	170636	854205
333	171108	853492
334	171650	853130
335	172247	853035
336	172835	852894
337	173404	852655
338	173950	852304
339	174504	851991
340	175008	851432
341	175519	850909
342	176047	850468
343	176528	849797
344	177020	849183
345	177513	848575
346	178076	848301
347	178646	848058
348	179189	847685
349	179747	847383
350	180250	846816
351	180789	846422
352	181313	845960
353	181906	845813
354	182434	845365
355	182978	844990
356	183501	844516
357	184068	844249
358	184649	844039
359	185196	843674
360	185784	843494
361	186353	843225
362	186853	842643
363	187414	842336
364	187912	841743
365	188476	841449
366	189089	841370
367	189692	841243
368	190237	840862
369	190726	840229
370	191289	839920
371	191829	839513
372	192329	838927
