shipment_id,order_id,vendor_id,origin,destination,ship_date,promised_date,actual_date,status,sku,quantity,cost_inr,weight_kg,distance_km,delay_days,lateness_flag,exception_note,vendor_reliability_sim,delay_probability_sim
SHP100000,ORD200000,V041,Ahmedabad,Delhi,2025-03-20,2025-03-22,2025-03-24,delivered_delayed,SKU0380,6,4908.97,1758.241077118711,2625.457674120898,2,1,vendor capacity issue,0.755,0.34
SHP100001,ORD200001,V016,Bhopal,Surat,2025-11-21,2025-11-28,2025-11-29,delivered_delayed,SKU0378,2,2948.29,962.3811705083338,1557.6770114636981,1,1,festival rush,0.669,0.427
SHP100002,ORD200002,V007,Jamshedpur,Bikaner,2025-09-04,2025-09-12,2025-09-14,delivered_delayed,SKU0457,3,2074.59,758.7144082129158,843.0055293090386,2,1,hub congestion,0.577,0.575
SHP100003,ORD200003,V038,Amritsar,Bengaluru,2025-03-24,2025-03-26,2025-03-26,delivered_on_time,SKU0016,2,3284.49,1344.9488166536796,1832.608858054078,0,0,,0.637,0.53
SHP100004,ORD200004,V006,Indore,Patna,2025-02-17,2025-02-21,2025-02-21,delivered_on_time,SKU0259,7,4407.44,1417.5458191721355,1546.9750012356587,0,0,,0.628,0.507
SHP100005,ORD200005,V039,Delhi,Dehradun,2025-06-14,2025-06-16,2025-06-21,delivered_delayed,SKU0102,2,3180.38,1022.8944419095651,1382.1345254038367,6,1,monsoon disruption,0.541,0.713
SHP100006,ORD200006,V046,Tiruchirappalli,Warangal,2024-12-28,2024-12-31,2025-01-09,delivered_delayed,SKU0280,1,2729.04,1125.1667471016144,818.9609395089366,8,1,route diversion,0.627,0.525
SHP100007,ORD200007,V027,Bhopal,Noida,2025-03-20,2025-03-23,2025-03-26,delivered_delayed,SKU0302,3,4155.76,1544.717060834558,2725.6077734133387,3,1,hub congestion,0.573,0.619
SHP100008,ORD200008,V001,Bikaner,Lucknow,2025-04-08,2025-04-14,2025-04-15,delivered_delayed,SKU0358,4,3468.24,1074.667507786248,1653.8130783119168,1,1,staffing shortage,0.74,0.453
SHP100009,ORD200009,V022,Ludhiana,Jaipur,2025-07-10,2025-07-14,2025-07-14,delivered_on_time,SKU0111,3,3449.77,1243.5087014114113,2472.410153678827,0,0,,0.652,0.517
SHP100010,ORD200010,V049,Rajkot,Pune,2025-11-03,2025-11-08,2025-11-14,delivered_delayed,SKU0048,3,825.34,255.98947540404146,478.94066923536,7,1,vendor capacity issue,0.597,0.589
SHP100011,ORD200011,V007,Varanasi,Vijayawada,2025-03-05,2025-03-11,2025-03-13,delivered_delayed,SKU0310,1,2389.9,740.9809564304555,1302.0409920087614,2,1,festival rush,0.633,0.482
SHP100012,ORD200012,V017,Bengaluru,Durgapur,2025-03-17,2025-03-26,2025-03-26,delivered_on_time,SKU0236,3,1326.46,458.2009970704074,585.4692412644025,0,0,,0.602,0.645
SHP100013,ORD200013,V035,Ahmedabad,Mysore,2025-12-02,2025-12-06,2025-12-07,delivered_delayed,SKU0041,4,352.67,100.0,200.0,0,1,vendor capacity issue,0.691,0.473
SHP100014,ORD200014,V036,Agra,Tiruchirappalli,2025-05-08,2025-05-13,2025-05-14,delivered_delayed,SKU0317,8,167.84,100.0,200.0,1,1,staffing shortage,0.649,0.528
SHP100015,ORD200015,V037,Nagpur,Jabalpur,2025-04-17,2025-04-21,2025-04-21,delivered_on_time,SKU0036,5,2612.82,797.4821948924301,1287.7246766291369,0,0,,0.582,0.674
SHP100016,ORD200016,V003,Mangalore,Bhopal,2025-05-06,2025-05-15,2025-05-16,delivered_delayed,SKU0396,2,4040.74,1142.2839722743272,1479.2056865405923,1,1,weather disruption,0.736,0.439
SHP100017,ORD200017,V006,Bhopal,Pune,2025-10-12,2025-10-22,2025-10-25,delivered_delayed,SKU0195,2,4144.39,1446.5815084700596,1443.549714720709,3,1,festival rush,0.636,0.507
SHP100018,ORD200018,V018,Noida,Tiruchirappalli,2025-08-22,2025-08-25,2025-08-27,delivered_delayed,SKU0428,3,2525.73,727.2388175866906,1020.7223230190176,2,1,monsoon disruption,0.553,0.613
SHP100019,ORD200019,V024,Lucknow,Kochi,2025-11-16,2025-11-21,2025-11-20,delivered_early,SKU0182,6,4306.26,1131.3326531543944,2937.2858323474957,0,0,,0.648,0.537
SHP100020,ORD200020,V014,Mangalore,Ludhiana,2025-09-27,2025-09-29,2025-09-29,delivered_on_time,SKU0360,3,2531.1,1029.185179950867,1825.752773827841,0,0,,0.646,0.565
SHP100021,ORD200021,V044,Tiruchirappalli,Kolkata,2025-06-17,2025-06-21,2025-06-25,delivered_delayed,SKU0312,2,1062.01,342.01449888934803,552.7750524333535,5,1,monsoon disruption,0.647,0.563
SHP100022,ORD200022,V041,Lucknow,Jalandhar,2025-09-10,2025-09-12,2025-09-12,delivered_on_time,SKU0374,1,3160.27,1064.0937013047887,1627.2049450677455,0,0,,0.737,0.442
